

GENERAL INFORMATIONS

Informations on NET;;
;;
Version;anNET 1.1.06;
Date;15-Sep-2016 14:52:36;
Model;/ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
Data;/ssd/common/tools/anNET/1.1.06/Schaub.csv;
Thermo;/ssd/common/tools/anNET/1.1.06/Alberty_ext.csv;
Solver;fmincon;
Time elapsed;00:21:50;
;;
Original size;;
Metabolites;762;
Reactions;923;
;;
Reduced model;;
Metabolites;144;
Reactions;163;
Sums;4;
Ratios;3;



CONCENTRATIONS

Metabolite;DfG'�;Range Min;Range Max;Optim Min;Optim Max;
PPM;[c]r1p <==> r5p;0;0;0;0;NaN;NaN;
DRPA;[c]2dr5p --> acald + g3p;1;0;0;0;NaN;NaN;
DHAPT;[c]dha + pep --> dhap + pyr;1;0;0;0;NaN;NaN;
GLYCTO2;[c]glyclt + q8 --> glx + q8h2;1;0;0;0;NaN;NaN;
GLYCDx;[c]glyc + nad --> dha + h + nadh;1;0;0;0;NaN;NaN;
GLYK;[c]atp + glyc --> adp + glyc3p + h;1;0;0;0;NaN;NaN;
G3PD2;[c]glyc3p + nadp <==> dhap + h + nadph;0;0;0;0;NaN;NaN;
MAN6PI;[c]man6p <==> f6p;0;0;0;0;NaN;NaN;
ACALDi;[c]acald + coa + nad --> accoa + h + nadh;1;0;0;0;NaN;NaN;
M1PD;[c]mnl1p + nad <==> f6p + h + nadh;0;0;0;0;NaN;NaN;
PGMT;[c]g1p <==> g6p;0;0;0;0;NaN;NaN;
RBK;[c]atp + rib-D --> adp + h + r5p;1;0;0;0;NaN;NaN;
MMM2;[c]succoa --> mmcoa-R;1;0;0;0;NaN;NaN;
SBTPD;[c]nad + sbt6p <==> f6p + h + nadh;0;0;0;0;NaN;NaN;
TREH;[c]h2o + tre --> (2) glc-D;1;0;0;0;NaN;NaN;
XYLI2i;[c]fru --> glc-D;1;0;0;0;NaN;NaN;
XYLI1;[c]xyl-D <==> xylu-D;0;0;0;0;NaN;NaN;
XYLK;[c]atp + xylu-D --> adp + h + xu5p-D;1;0;0;0;NaN;NaN;
HPYRRx;[c]h + hpyr + nadh --> glyc-R + nad;1;0;0;0;NaN;NaN;
HPYRRy;[c]h + hpyr + nadph --> glyc-R + nadp;1;0;0;0;NaN;NaN;
MMCD;[c]h + mmcoa-S + h2o --> co2tot + ppcoa;1;0;0;0;NaN;NaN;
ICL;[c]icit --> glx + succ;1;1;0;0;NaN;NaN;
MALS;[c]accoa + glx + h2o --> coa + h + mal-L;1;1;0;0;NaN;NaN;
ME2;[c]mal-L + nadp + h2o --> co2tot + nadph + pyr;1;1;0;0;NaN;NaN;
PPCK;[c]atp + oaa + h2o --> adp + co2tot + pep;1;1;0;0;NaN;NaN;
PPA;[c]h2o + ppi --> h + (2) pi;1;0;0;0;NaN;NaN;
PPC;[c]co2tot + pep --> h + oaa + pi;1;1;0;0;NaN;NaN;
ME1;[c]mal-L + nad + h2o --> co2tot + nadh + pyr;1;1;0;0;NaN;NaN;
ACONT;[c]cit <==> icit;0;1;0;0;NaN;NaN;
CITL;[c]cit --> ac + oaa;1;1;0;0;NaN;NaN;
FUM;[c]fum + h2o <==> mal-L;0;1;0;0;NaN;NaN;
CS;[c]accoa + h2o + oaa --> cit + coa + h;1;1;0;0;NaN;NaN;
ICDHyr;[c]icit + nadp + h2o <==> akg + co2tot + nadph;0;1;0;0;NaN;NaN;
TEST_AKGDH;[c]akg + coa + nad + h2o --> co2tot + nadh + succoa;1;1;0;0;NaN;NaN;
MDH;[c]mal-L + nad <==> h + nadh + oaa;0;1;0;0;NaN;NaN;
MDH2;[c]mal-L + q8 --> oaa + q8h2;1;0;0;0;NaN;NaN;
SUCD1i;[c]fad + succ --> fadh2 + fum;1;1;0;0;NaN;NaN;
SUCOAS;[c]atp + coa + succ <==> adp + pi + succoa;0;-1;0;0;NaN;NaN;
NADPPPS;[c]h2o + nadp --> nad + pi;1;0;0;0;NaN;NaN;
GTHOr;[c]gthox + h + nadph <==> (2) gthrd + nadp;0;0;0;0;NaN;NaN;
NADK;[c]atp + nad --> adp + h + nadp;1;0;0;0;NaN;NaN;
SADT2;[c]atp + gtp + h2o + so4 --> aps + gdp + pi + ppi;1;1;0;0;NaN;NaN;
SULR;[c](3) h2o + h2s + (3) nadp <==> (5) h + (3) nadph + so3;0;-1;0;0;NaN;NaN;
GLUDy;[c]glu-L + h2o + nadp <==> akg + h + nadph + nh4;0;0;0;0;NaN;NaN;
GLNS;[c]atp + glu-L + nh4 --> adp + gln-L + h + pi;1;0;0;0;NaN;NaN;
GLUSy;[c]akg + gln-L + h + nadph --> (2) glu-L + nadp;1;0;0;0;NaN;NaN;
GLUN;[c]gln-L + h2o --> glu-L + nh4;1;0;0;0;NaN;NaN;
PGCD;[c]3pg + nad --> 3php + h + nadh;1;1;0;0;NaN;NaN;
PSP_L;[c]h2o + pser-L --> pi + ser-L;1;1;0;0;NaN;NaN;
PSERT;[c]3php + glu-L --> akg + pser-L;1;1;0;0;NaN;NaN;
SERD_L;[c]ser-L --> nh4 + pyr;1;0;0;0;NaN;NaN;
PDH;[c]coa + nad + pyr + h2o --> accoa + co2tot + nadh;1;1;0;0;NaN;NaN;
G1PP;[c]g1p + h2o --> glc-D + pi;1;0;0;0;NaN;NaN;
ENO;[c]2pg <==> h2o + pep;0;1;0;0;NaN;NaN;
FBA;[c]fdp <==> dhap + g3p;0;1;0;0;NaN;NaN;
FBP;[c]fdp + h2o --> f6p + pi;1;0;0;0;NaN;NaN;
F6PA;[c]f6p <==> dha + g3p;0;0;0;0;NaN;NaN;
GAPD;[c]g3p + nad + pi <==> 13dpg + h + nadh;0;1;0;0;NaN;NaN;
HEX1;[c]atp + glc-D --> adp + g6p + h;1;0;0;0;NaN;NaN;
PGM;[c]2pg <==> 3pg;0;-1;0;0;NaN;NaN;
PFK;[c]atp + f6p --> adp + fdp + h;1;1;0;0;NaN;NaN;
PGI;[c]g6p <==> f6p;0;1;0;0;NaN;NaN;
PGK;[c]3pg + atp <==> 13dpg + adp;0;-1;0;0;NaN;NaN;
PPS;[c]atp + h2o + pyr --> amp + (2) h + pep + pi;1;0;0;0;NaN;NaN;
PYK;[c]adp + h + pep --> atp + pyr;1;1;0;0;NaN;NaN;
TPI;[c]dhap <==> g3p;0;1;0;0;NaN;NaN;
GLYCK;[c]atp + glyc-R --> 3pg + adp + h;1;0;0;0;NaN;NaN;
GLYCLTDy;[c]glx + h + nadph --> glyclt + nadp;1;0;0;0;NaN;NaN;
GLYCLTDx;[c]glx + h + nadh --> glyclt + nad;1;0;0;0;NaN;NaN;
PRPPS;[c]atp + r5p <==> amp + h + prpp;0;0;0;0;NaN;NaN;
ACACT1r;[c](2) accoa <==> aacoa + coa;0;0;0;0;NaN;NaN;
ADA;[c]adn + h + h2o --> ins + nh4;1;0;0;0;NaN;NaN;
ADNK1;[c]adn + atp --> adp + amp + h;1;0;0;0;NaN;NaN;
ADK1;[c]amp + atp <==> (2) adp;0;0;0;0;NaN;NaN;
DADK;[c]atp + damp <==> adp + dadp;0;0;0;0;NaN;NaN;
ADK4;[c]amp + itp <==> adp + idp;0;0;0;0;NaN;NaN;
ADK3;[c]amp + gtp <==> adp + gdp;0;0;0;0;NaN;NaN;
AMPN;[c]amp + h2o --> ade + r5p;1;0;0;0;NaN;NaN;
ADPT;[c]ade + prpp --> amp + ppi;1;0;0;0;NaN;NaN;
ADNCYC;[c]atp --> camp + ppi;1;0;0;0;NaN;NaN;
GK1;[c]atp + gmp <==> adp + gdp;0;0;0;0;NaN;NaN;
XPPT;[c]prpp + xan --> ppi + xmp;1;0;0;0;NaN;NaN;
HXPRT;[c]hxan + prpp --> imp + ppi;1;0;0;0;NaN;NaN;
GUAPRT;[c]gua + prpp --> gmp + ppi;1;0;0;0;NaN;NaN;
INSK;[c]atp + ins --> adp + h + imp;1;0;0;0;NaN;NaN;
GSNK;[c]atp + gsn --> adp + gmp + h;1;0;0;0;NaN;NaN;
NTPP5;[c]datp + h2o --> damp + h + ppi;1;0;0;0;NaN;NaN;
NTPP6;[c]atp + h2o --> amp + h + ppi;1;0;0;0;NaN;NaN;
NTPP2;[c]gtp + h2o --> gmp + h + ppi;1;0;0;0;NaN;NaN;
NDPK1;[c]atp + gdp <==> adp + gtp;0;0;0;0;NaN;NaN;
NDPK8;[c]atp + dadp <==> adp + datp;0;0;0;0;NaN;NaN;
RNDR1;[c]adp + trdrd --> dadp + h2o + trdox;1;0;0;0;NaN;NaN;
RNTR1;[c]atp + trdrd --> datp + h2o + trdox;1;0;0;0;NaN;NaN;
NTD7;[c]amp + h2o --> adn + pi;1;0;0;0;NaN;NaN;
NTD9;[c]gmp + h2o --> gsn + pi;1;0;0;0;NaN;NaN;
NTD11;[c]h2o + imp --> ins + pi;1;0;0;0;NaN;NaN;
NTD10;[c]h2o + xmp --> pi + xtsn;1;0;0;0;NaN;NaN;
PUNP5;[c]ins + pi <==> hxan + r1p;0;0;0;0;NaN;NaN;
PUNP1;[c]adn + pi <==> ade + r1p;0;0;0;0;NaN;NaN;
PUNP3;[c]gsn + pi <==> gua + r1p;0;0;0;0;NaN;NaN;
PUNP7;[c]pi + xtsn <==> r1p + xan;0;0;0;0;NaN;NaN;
GUAD;[c]gua + h + h2o --> nh4 + xan;1;0;0;0;NaN;NaN;
ADD;[c]ade + h + h2o --> hxan + nh4;1;0;0;0;NaN;NaN;
ATPS4r;adp[c] + (4) h[e] + pi[c] <==> atp[c] + (3) h[c] + h2o[c];0;0;0;-27.3986;NaN;NaN;
CYTBD;(2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[e] + h2o[c] + q8[c];1;0;0;18.2657;NaN;NaN;
CYTBO3;(2.5) h[c] + (0.5) o2[c] + q8h2[c] --> (2.5) h[e] + h2o[c] + q8[c];1;0;0;22.8322;NaN;NaN;
LDH_D2;[c]lac-D + q8 --> pyr + q8h2;1;0;0;0;NaN;NaN;
FDH2;for[c] + (3) h[c] + q8[c] + h2o[c]--> co2tot[c] + (2) h[e] + q8h2[c];1;0;0;-18.2657;NaN;NaN;
G3PD5;[c]glyc3p + q8 --> dhap + q8h2;1;0;0;0;NaN;NaN;
HYD1;(2) h[c] + h2[c] + q8[c] --> (2) h[e] + q8h2[c];1;0;0;18.2657;NaN;NaN;
NO3R1;(2) h[c] + no3[c] + q8h2[c] --> (2) h[e] + h2o[c] + no2[c] + q8[c];1;0;0;18.2657;NaN;NaN;
NADH5;[c]h + nadh + q8 --> nad + q8h2;1;0;0;0;NaN;NaN;
NTRIR2x;[c](5) h + (3) nadh + no2 --> (2) h2o + (3) nad + nh4;1;0;0;0;NaN;NaN;
NADH6;(4.5) h[c] + nadh[c] + q8[c] --> (3.5) h[e] + nad[c] + q8h2[c];1;0;0;-31.965;NaN;NaN;
THD2;h[e] + nadh[c] + nadp[c] --> h[c] + nad[c] + nadph[c];1;0;0;-9.13287;NaN;NaN;
POX;[c](2) h2o + pyr + q8 --> ac + co2tot + q8h2;1;0;0;0;NaN;NaN;
SUCD4;[c]fadh2 + q8 <==> fad + q8h2;0;0;0;0;NaN;NaN;
